=== 지오코딩 실패 항목 리스트 (주소 검색 기준) ===
시도 횟수: 8724건 / 성공: 1264건 / 실패: 7460건
--------------------------------------------------------------------------------
행 0 | 도로명: 서울특별시 은평구 증산로3길 20 | 지번: nan | 사유: 검색 결과 없음
행 1233 | 도로명: 서울특별시 종로구 경교장1길7-1 | 지번: 서울특별시 종로구 교남동 38-2 | 사유: 검색 결과 없음
행 1234 | 도로명: 서울특별시 종로구 경교장길5 | 지번: 서울특별시 종로구 교남동 7 | 사유: 검색 결과 없음
행 1235 | 도로명: 서울특별시 종로구 경교장길8 | 지번: 서울특별시 종로구 교남동 2-1 | 사유: 검색 결과 없음
행 1236 | 도로명: 서울특별시 종로구 사직로1가길10 | 지번: 서울특별시 종로구 행촌동 1-69 | 사유: 검색 결과 없음
행 1237 | 도로명: 서울특별시 종로구 사직로1가길16 | 지번: 서울특별시 종로구 행촌동 1 | 사유: 검색 결과 없음
행 1238 | 도로명: 서울특별시 종로구 사직로1가길16-1 | 지번: 서울특별시 종로구 행촌동 1-69 | 사유: 검색 결과 없음
행 1239 | 도로명: 서울특별시 종로구 사직로1가길16-1 | 지번: 서울특별시 종로구 행촌동 1-113 | 사유: 검색 결과 없음
행 1240 | 도로명: 서울특별시 종로구 사직로1가길16 | 지번: 서울특별시 종로구 행촌동 산 2-2 | 사유: 검색 결과 없음
행 1241 | 도로명: 서울특별시 종로구 사직로1가길18 | 지번: 서울특별시 종로구 행촌동 1-69 | 사유: 검색 결과 없음
행 1242 | 도로명: 서울특별시 종로구 사직로1가길3 | 지번: 서울특별시 종로구 행촌동 171-44 | 사유: 검색 결과 없음
행 1243 | 도로명: 서울특별시 종로구 사직로1가길4-1 | 지번: 서울특별시 종로구 행촌동 1-69 | 사유: 검색 결과 없음
행 1244 | 도로명: 서울특별시 종로구 사직로1가길4-1 | 지번: 서울특별시 종로구 행촌동 1-32 | 사유: 검색 결과 없음
행 1245 | 도로명: 서울특별시 종로구 사직로1가길9 | 지번: 서울특별시 종로구 행촌동 171-250 | 사유: 검색 결과 없음
행 1246 | 도로명: 서울특별시 종로구 사직로1길1 | 지번: 서울특별시 종로구 행촌동 171-5 | 사유: 검색 결과 없음
행 1247 | 도로명: 서울특별시 종로구 사직로1길12-3 | 지번: 서울특별시 종로구 행촌동 171-262 | 사유: 검색 결과 없음
행 1248 | 도로명: 서울특별시 종로구 사직로1길12-6 | 지번: 서울특별시 종로구 행촌동 171-296 | 사유: 검색 결과 없음
행 1249 | 도로명: 서울특별시 종로구 사직로1길18 | 지번: 서울특별시 종로구 행촌동 171-1 | 사유: 검색 결과 없음
행 1250 | 도로명: 서울특별시 종로구 사직로1길18-2 | 지번: 서울특별시 종로구 행촌동 171-53 | 사유: 검색 결과 없음
행 1251 | 도로명: 서울특별시 종로구 사직로1길22-13 | 지번: 서울특별시 종로구 행촌동 171-94 | 사유: 검색 결과 없음
행 1252 | 도로명: 서울특별시 종로구 사직로1길22-2 | 지번: 서울특별시 종로구 행촌동 171-216 | 사유: 검색 결과 없음
행 1253 | 도로명: 서울특별시 종로구 사직로1길22-2 | 지번: 서울특별시 종로구 행촌동 171-216 | 사유: 검색 결과 없음
행 1254 | 도로명: 서울특별시 종로구 사직로1길24 | 지번: 서울특별시 종로구 행촌동 171-1 | 사유: 검색 결과 없음
행 1255 | 도로명: 서울특별시 종로구 사직로1길24-2 | 지번: 서울특별시 종로구 행촌동 171-106 | 사유: 검색 결과 없음
행 1256 | 도로명: 서울특별시 종로구 사직로1길28-3 | 지번: 서울특별시 종로구 행촌동 171-216 | 사유: 검색 결과 없음
행 1257 | 도로명: 서울특별시 종로구 사직로1길28-3 | 지번: 서울특별시 종로구 행촌동 210-1085 | 사유: 검색 결과 없음
행 1258 | 도로명: 서울특별시 종로구 사직로1길28-3 | 지번: 서울특별시 종로구 행촌동 210-1076 | 사유: 검색 결과 없음
행 1259 | 도로명: 서울특별시 종로구 사직로1길28-8 | 지번: 서울특별시 종로구 행촌동 171-204 | 사유: 검색 결과 없음
행 1260 | 도로명: 서울특별시 종로구 사직로1길28-8 | 지번: 서울특별시 종로구 행촌동 171-204 | 사유: 검색 결과 없음
행 1261 | 도로명: 서울특별시 종로구 사직로1길41 | 지번: 서울특별시 종로구 행촌동 210-989 | 사유: 검색 결과 없음
행 1262 | 도로명: 서울특별시 종로구 사직로1길43 | 지번: 서울특별시 종로구 행촌동 210-989 | 사유: 검색 결과 없음
행 1263 | 도로명: 서울특별시 종로구 사직로1길45 | 지번: 서울특별시 종로구 행촌동 210-193 | 사유: 검색 결과 없음
행 1264 | 도로명: 서울특별시 종로구 사직로1길48-1 | 지번: 서울특별시 종로구 행촌동 210-130 | 사유: 검색 결과 없음
행 1265 | 도로명: 서울특별시 종로구 사직로1길48-4 | 지번: 서울특별시 종로구 행촌동 210-132 | 사유: 검색 결과 없음
행 1266 | 도로명: 서울특별시 종로구 사직로1길51 | 지번: 서울특별시 종로구 행촌동 210-198 | 사유: 검색 결과 없음
행 1267 | 도로명: 서울특별시 종로구 사직로1길52-3 | 지번: 서울특별시 종로구 행촌동 210-445 | 사유: 검색 결과 없음
행 1268 | 도로명: 서울특별시 종로구 사직로1길53 | 지번: 서울특별시 종로구 행촌동 210-988 | 사유: 검색 결과 없음
행 1269 | 도로명: 서울특별시 종로구 사직로1길55 | 지번: 서울특별시 종로구 행촌동 210-201 | 사유: 검색 결과 없음
행 1270 | 도로명: 서울특별시 종로구 사직로1길58-8 | 지번: 서울특별시 종로구 행촌동 210-615 | 사유: 검색 결과 없음
행 1271 | 도로명: 서울특별시 종로구 사직로1길58-8 | 지번: 서울특별시 종로구 행촌동 210-615 | 사유: 검색 결과 없음
행 1272 | 도로명: 서울특별시 종로구 사직로1길58-9 | 지번: 서울특별시 종로구 행촌동 210-8 | 사유: 검색 결과 없음
행 1273 | 도로명: 서울특별시 종로구 사직로1길58-9 | 지번: 서울특별시 종로구 행촌동 210-482 | 사유: 검색 결과 없음
행 1274 | 도로명: 서울특별시 종로구 사직로1길7-1 | 지번: 서울특별시 종로구 행촌동 41-11 | 사유: 검색 결과 없음
행 1275 | 도로명: 서울특별시 종로구 사직로1길7-5 | 지번: 서울특별시 종로구 행촌동 171-21 | 사유: 검색 결과 없음
행 1276 | 도로명: 서울특별시 종로구 사직로1길9 | 지번: 서울특별시 종로구 행촌동 1-69 | 사유: 검색 결과 없음
행 1277 | 도로명: 서울특별시 종로구 사직로1나길13 | 지번: 서울특별시 종로구 행촌동 171-148 | 사유: 검색 결과 없음
행 1278 | 도로명: 서울특별시 종로구 사직로1나길14-4 | 지번: 서울특별시 종로구 행촌동 171-121 | 사유: 검색 결과 없음
행 1279 | 도로명: 서울특별시 종로구 사직로1나길22-7 | 지번: 서울특별시 종로구 행촌동 210-487 | 사유: 검색 결과 없음
행 1280 | 도로명: 서울특별시 종로구 사직로1나길26 | 지번: 서울특별시 종로구 행촌동 210-8 | 사유: 검색 결과 없음
행 1281 | 도로명: 서울특별시 종로구 사직로1나길30 | 지번: 서울특별시 종로구 행촌동 210-8 | 사유: 검색 결과 없음
행 1282 | 도로명: 서울특별시 종로구 사직로1나길40 | 지번: 서울특별시 종로구 행촌동 210-8 | 사유: 검색 결과 없음
행 1283 | 도로명: 서울특별시 종로구 사직로1나길43-1 | 지번: 서울특별시 종로구 행촌동 210-91 | 사유: 검색 결과 없음
행 1284 | 도로명: 서울특별시 종로구 사직로1나길5 | 지번: 서울특별시 종로구 행촌동 171-91 | 사유: 검색 결과 없음
행 1285 | 도로명: 서울특별시 종로구 사직로1다길11 | 지번: 서울특별시 종로구 행촌동 210-1071 | 사유: 검색 결과 없음
행 1286 | 도로명: 서울특별시 종로구 사직로1다길11 | 지번: 서울특별시 종로구 행촌동 210-333 | 사유: 검색 결과 없음
행 1287 | 도로명: 서울특별시 종로구 사직로1다길12 | 지번: 서울특별시 종로구 행촌동 171-282 | 사유: 검색 결과 없음
행 1288 | 도로명: 서울특별시 종로구 사직로1다길17 | 지번: 서울특별시 종로구 행촌동 171-172 | 사유: 검색 결과 없음
행 1289 | 도로명: 서울특별시 종로구 사직로1다길19-2 | 지번: 서울특별시 종로구 행촌동 210-324 | 사유: 검색 결과 없음
행 1290 | 도로명: 서울특별시 종로구 사직로1다길19-3 | 지번: 서울특별시 종로구 행촌동 210-1071 | 사유: 검색 결과 없음
행 1291 | 도로명: 서울특별시 종로구 사직로1다길5 | 지번: 서울특별시 종로구 행촌동 210-1084 | 사유: 검색 결과 없음
행 1292 | 도로명: 서울특별시 종로구 사직로1다길8-6 | 지번: 서울특별시 종로구 행촌동 171-284 | 사유: 검색 결과 없음
행 1293 | 도로명: 서울특별시 종로구 사직로1라길16 | 지번: 서울특별시 종로구 행촌동 210-1157 | 사유: 검색 결과 없음
행 1294 | 도로명: 서울특별시 종로구 사직로1라길2-23 | 지번: 서울특별시 종로구 행촌동 210-543 | 사유: 검색 결과 없음
행 1295 | 도로명: 서울특별시 종로구 사직로1라길2-25 | 지번: 서울특별시 종로구 행촌동 210-339 | 사유: 검색 결과 없음
행 1296 | 도로명: 서울특별시 종로구 사직로1라길2-4 | 지번: 서울특별시 종로구 행촌동 210-343 | 사유: 검색 결과 없음
행 1297 | 도로명: 서울특별시 종로구 사직로1라길2-9 | 지번: 서울특별시 종로구 행촌동 210-1100 | 사유: 검색 결과 없음
행 1298 | 도로명: 서울특별시 종로구 사직로1라길25-1 | 지번: 서울특별시 종로구 행촌동 210-611 | 사유: 검색 결과 없음
행 1299 | 도로명: 서울특별시 종로구 사직로1라길26-1 | 지번: 서울특별시 종로구 행촌동 210-406 | 사유: 검색 결과 없음
행 1300 | 도로명: 서울특별시 종로구 사직로1라길27 | 지번: 서울특별시 종로구 행촌동 210-920 | 사유: 검색 결과 없음
행 1301 | 도로명: 서울특별시 종로구 사직로1라길27 | 지번: 서울특별시 종로구 행촌동 210-416 | 사유: 검색 결과 없음
행 1302 | 도로명: 서울특별시 종로구 사직로1라길27 | 지번: 서울특별시 종로구 행촌동 210-920 | 사유: 검색 결과 없음
행 1303 | 도로명: 서울특별시 종로구 사직로1라길3 | 지번: 서울특별시 종로구 행촌동 210-135 | 사유: 검색 결과 없음
행 1304 | 도로명: 서울특별시 종로구 사직로1라길34-4 | 지번: 서울특별시 종로구 행촌동 210-975 | 사유: 검색 결과 없음
행 1305 | 도로명: 서울특별시 종로구 사직로1라길37 | 지번: 서울특별시 종로구 행촌동 210-1126 | 사유: 검색 결과 없음
행 1306 | 도로명: 서울특별시 종로구 사직로1라길41 | 지번: 서울특별시 종로구 행촌동 210-853 | 사유: 검색 결과 없음
행 1307 | 도로명: 서울특별시 종로구 사직로1라길41 | 지번: 서울특별시 종로구 행촌동 210-1129 | 사유: 검색 결과 없음
행 1308 | 도로명: 서울특별시 종로구 사직로1라길5 | 지번: 서울특별시 종로구 행촌동 210-134 | 사유: 검색 결과 없음
행 1309 | 도로명: 서울특별시 종로구 사직로1라길9 | 지번: 서울특별시 종로구 행촌동 210-445 | 사유: 검색 결과 없음
행 1310 | 도로명: 서울특별시 종로구 사직로1마길10 | 지번: 서울특별시 종로구 행촌동 210-84 | 사유: 검색 결과 없음
행 1311 | 도로명: 서울특별시 종로구 사직로1마길14 | 지번: 서울특별시 종로구 행촌동 210-8 | 사유: 검색 결과 없음
행 1312 | 도로명: 서울특별시 종로구 사직로1마길14 | 지번: 서울특별시 종로구 행촌동 210-8 | 사유: 검색 결과 없음
행 1313 | 도로명: 서울특별시 종로구 사직로1마길16 | 지번: 서울특별시 종로구 행촌동 210-89 | 사유: 검색 결과 없음
행 1314 | 도로명: 서울특별시 종로구 사직로1마길2-2 | 지번: 서울특별시 종로구 행촌동 210-3 | 사유: 검색 결과 없음
행 1315 | 도로명: 서울특별시 종로구 사직로1마길27 | 지번: 서울특별시 종로구 행촌동 210-369 | 사유: 검색 결과 없음
행 1316 | 도로명: 서울특별시 종로구 사직로1마길32 | 지번: 서울특별시 종로구 행촌동 210-975 | 사유: 검색 결과 없음
행 1317 | 도로명: 서울특별시 종로구 사직로1마길32 | 지번: 서울특별시 종로구 행촌동 210-1118 | 사유: 검색 결과 없음
행 1318 | 도로명: 서울특별시 종로구 사직로1마길4 | 지번: 서울특별시 종로구 행촌동 210-544 | 사유: 검색 결과 없음
행 1319 | 도로명: 서울특별시 종로구 사직로1마길8 | 지번: 서울특별시 종로구 행촌동 210-82 | 사유: 검색 결과 없음
행 1320 | 도로명: 서울특별시 종로구 사직로29-2 | 지번: 서울특별시 종로구 행촌동 1-49 | 사유: 검색 결과 없음
행 1321 | 도로명: 서울특별시 종로구 사직로2길12 | 지번: 서울특별시 종로구 행촌동 1-44 | 사유: 검색 결과 없음
행 1322 | 도로명: 서울특별시 종로구 사직로2길12 | 지번: 서울특별시 종로구 행촌동 1-69 | 사유: 검색 결과 없음
행 1323 | 도로명: 서울특별시 종로구 사직로2길14 | 지번: 서울특별시 종로구 행촌동 18-1 | 사유: 검색 결과 없음
행 1324 | 도로명: 서울특별시 종로구 사직로2길16 | 지번: 서울특별시 종로구 행촌동 1-82 | 사유: 검색 결과 없음
행 1325 | 도로명: 서울특별시 종로구 사직로2길16 | 지번: 서울특별시 종로구 행촌동 1-82 | 사유: 검색 결과 없음
행 1326 | 도로명: 서울특별시 종로구 송월1길44-24 | 지번: 서울특별시 종로구 홍파동 2-35 | 사유: 검색 결과 없음
행 1327 | 도로명: 서울특별시 종로구 송월1길44-30 | 지번: 서울특별시 종로구 홍파동 1-32 | 사유: 검색 결과 없음
행 1328 | 도로명: 서울특별시 종로구 송월1길44-30 | 지번: 서울특별시 종로구 홍파동 1-32 | 사유: 검색 결과 없음
행 1329 | 도로명: 서울특별시 종로구 송월1길44-6 | 지번: 서울특별시 종로구 홍파동 1-32 | 사유: 검색 결과 없음
행 1330 | 도로명: 서울특별시 종로구 송월1길44-7 | 지번: 서울특별시 종로구 홍파동 1-1 | 사유: 검색 결과 없음
행 1331 | 도로명: 서울특별시 종로구 송월1길52-8 | 지번: 서울특별시 종로구 행촌동 1-3 | 사유: 검색 결과 없음
행 1332 | 도로명: 서울특별시 종로구 송월1길66 | 지번: 서울특별시 종로구 행촌동 6-1 | 사유: 검색 결과 없음
행 1333 | 도로명: 서울특별시 종로구 송월1길69 | 지번: 서울특별시 종로구 행촌동 1-78 | 사유: 검색 결과 없음
행 1334 | 도로명: 서울특별시 종로구 송월1길70 | 지번: 서울특별시 종로구 행촌동 1-159 | 사유: 검색 결과 없음
행 1335 | 도로명: 서울특별시 종로구 송월1길73-26 | 지번: 서울특별시 종로구 행촌동 1-69 | 사유: 검색 결과 없음
행 1336 | 도로명: 서울특별시 종로구 송월1길73-26 | 지번: 서울특별시 종로구 행촌동 1-69 | 사유: 검색 결과 없음
행 1337 | 도로명: 서울특별시 종로구 송월1길73-7 | 지번: 서울특별시 종로구 행촌동 1-152 | 사유: 검색 결과 없음
행 1338 | 도로명: 서울특별시 종로구 송월1길73-7 | 지번: 서울특별시 종로구 행촌동 1-152 | 사유: 검색 결과 없음
행 1339 | 도로명: 서울특별시 종로구 인왕산로1가길11 | 지번: 서울특별시 종로구 행촌동 1-172 | 사유: 검색 결과 없음
행 1340 | 도로명: 서울특별시 종로구 인왕산로1가길11 | 지번: 서울특별시 종로구 행촌동 1-172 | 사유: 검색 결과 없음
행 1341 | 도로명: 서울특별시 종로구 인왕산로1가길11 | 지번: 서울특별시 종로구 행촌동 1-172 | 사유: 검색 결과 없음
행 1342 | 도로명: 서울특별시 종로구 인왕산로1가길11 | 지번: 서울특별시 종로구 행촌동 29-1 | 사유: 검색 결과 없음
행 1343 | 도로명: 서울특별시 종로구 인왕산로1가길25-2 | 지번: 서울특별시 종로구 행촌동 171-194 | 사유: 검색 결과 없음
행 1344 | 도로명: 서울특별시 종로구 인왕산로1가길28 | 지번: 서울특별시 종로구 행촌동 210-167 | 사유: 검색 결과 없음
행 1345 | 도로명: 서울특별시 종로구 인왕산로1가길34-1 | 지번: 서울특별시 종로구 행촌동 210-314 | 사유: 검색 결과 없음
행 1346 | 도로명: 서울특별시 종로구 인왕산로1가길34-12 | 지번: 서울특별시 종로구 행촌동 210-306 | 사유: 검색 결과 없음
행 1347 | 도로명: 서울특별시 종로구 인왕산로1가길34-5 | 지번: 서울특별시 종로구 행촌동 210-312 | 사유: 검색 결과 없음
행 1348 | 도로명: 서울특별시 종로구 인왕산로1가길36-15 | 지번: 서울특별시 종로구 행촌동 210-351 | 사유: 검색 결과 없음
행 1349 | 도로명: 서울특별시 종로구 인왕산로1가길36-9 | 지번: 서울특별시 종로구 행촌동 210-159 | 사유: 검색 결과 없음
행 1350 | 도로명: 서울특별시 종로구 인왕산로1가길40 | 지번: 서울특별시 종로구 행촌동 210-8 | 사유: 검색 결과 없음
행 1351 | 도로명: 서울특별시 종로구 인왕산로1길31 | 지번: 서울특별시 종로구 행촌동 171-160 | 사유: 검색 결과 없음
행 1352 | 도로명: 서울특별시 종로구 인왕산로1길31 | 지번: 서울특별시 종로구 행촌동 171-160 | 사유: 검색 결과 없음
행 1353 | 도로명: 서울특별시 종로구 인왕산로1길49 | 지번: 서울특별시 종로구 행촌동 210-294 | 사유: 검색 결과 없음
행 1354 | 도로명: 서울특별시 종로구 인왕산로1길52-1 | 지번: 서울특별시 종로구 행촌동 210-35 | 사유: 검색 결과 없음
행 1355 | 도로명: 서울특별시 종로구 인왕산로1길53-2 | 지번: 서울특별시 종로구 행촌동 210-155 | 사유: 검색 결과 없음
행 1356 | 도로명: 서울특별시 종로구 인왕산로1길55 | 지번: 서울특별시 종로구 행촌동 210-35 | 사유: 검색 결과 없음
행 1357 | 도로명: 서울특별시 종로구 인왕산로1길58 | 지번: 서울특별시 종로구 행촌동 210-620 | 사유: 검색 결과 없음
행 1358 | 도로명: 서울특별시 종로구 인왕산로1길58-3 | 지번: 서울특별시 종로구 행촌동 210-282 | 사유: 검색 결과 없음
행 1359 | 도로명: 서울특별시 종로구 인왕산로1길58-5 | 지번: 서울특별시 종로구 행촌동 210-577 | 사유: 검색 결과 없음
행 1360 | 도로명: 서울특별시 종로구 인왕산로1길59 | 지번: 서울특별시 종로구 행촌동 210-370 | 사유: 검색 결과 없음
행 1361 | 도로명: 서울특별시 종로구 인왕산로1길60-2 | 지번: 서울특별시 종로구 행촌동 210-275 | 사유: 검색 결과 없음
행 1362 | 도로명: 서울특별시 종로구 인왕산로1길60-5 | 지번: 서울특별시 종로구 행촌동 210-585 | 사유: 검색 결과 없음
행 1363 | 도로명: 서울특별시 종로구 인왕산로1길62-1 | 지번: 서울특별시 종로구 행촌동 210-24 | 사유: 검색 결과 없음
행 1364 | 도로명: 서울특별시 종로구 인왕산로1길62-3 | 지번: 서울특별시 종로구 행촌동 210-562 | 사유: 검색 결과 없음
행 1365 | 도로명: 서울특별시 종로구 인왕산로1길62-7 | 지번: 서울특별시 종로구 행촌동 210-833 | 사유: 검색 결과 없음
행 1366 | 도로명: 서울특별시 종로구 인왕산로1길62-7 | 지번: 서울특별시 종로구 행촌동 210-565 | 사유: 검색 결과 없음
행 1367 | 도로명: 서울특별시 종로구 인왕산로1길62-7 | 지번: 서울특별시 종로구 행촌동 210-829 | 사유: 검색 결과 없음
행 1368 | 도로명: 서울특별시 종로구 인왕산로1길66 | 지번: 서울특별시 종로구 행촌동 210-8 | 사유: 검색 결과 없음
행 1369 | 도로명: 서울특별시 종로구 인왕산로1길66 | 지번: 서울특별시 종로구 행촌동 210-641 | 사유: 검색 결과 없음
행 1370 | 도로명: 서울특별시 종로구 인왕산로1길66 | 지번: 서울특별시 종로구 행촌동 210-1127 | 사유: 검색 결과 없음
행 1371 | 도로명: 서울특별시 종로구 인왕산로1길66 | 지번: 서울특별시 종로구 행촌동 210-1127 | 사유: 검색 결과 없음
행 1372 | 도로명: 서울특별시 종로구 인왕산로1길66 | 지번: 서울특별시 종로구 행촌동 210-357 | 사유: 검색 결과 없음
행 1373 | 도로명: 서울특별시 종로구 인왕산로1길66 | 지번: 서울특별시 종로구 행촌동 210-1127 | 사유: 검색 결과 없음
행 1374 | 도로명: 서울특별시 종로구 인왕산로1길66 | 지번: 서울특별시 종로구 행촌동 210-1127 | 사유: 검색 결과 없음
행 1375 | 도로명: 서울특별시 종로구 인왕산로1길66 | 지번: 서울특별시 종로구 행촌동 210-1127 | 사유: 검색 결과 없음
행 1376 | 도로명: 서울특별시 종로구 인왕산로1길66 | 지번: 서울특별시 종로구 행촌동 210-1127 | 사유: 검색 결과 없음
행 1377 | 도로명: 서울특별시 종로구 인왕산로1길72 | 지번: 서울특별시 종로구 행촌동 210-16 | 사유: 검색 결과 없음
행 1378 | 도로명: 서울특별시 종로구 인왕산로1길72-2 | 지번: 서울특별시 종로구 행촌동 46-2133 | 사유: 검색 결과 없음
행 1379 | 도로명: 서울특별시 종로구 통일로12길10-15 | 지번: 서울특별시 종로구 행촌동 209-44 | 사유: 검색 결과 없음
행 1380 | 도로명: 서울특별시 종로구 통일로12길10-18 | 지번: 서울특별시 종로구 행촌동 209-34 | 사유: 검색 결과 없음
행 1381 | 도로명: 서울특별시 종로구 통일로12길10-8 | 지번: 서울특별시 종로구 행촌동 209-15 | 사유: 검색 결과 없음
행 1382 | 도로명: 서울특별시 종로구 통일로12길108-1 | 지번: 서울특별시 종로구 행촌동 210-691 | 사유: 검색 결과 없음
행 1383 | 도로명: 서울특별시 종로구 통일로12길108-1 | 지번: 서울특별시 종로구 행촌동 210-798 | 사유: 검색 결과 없음
행 1384 | 도로명: 서울특별시 종로구 통일로12길108-1 | 지번: 서울특별시 종로구 행촌동 210-734 | 사유: 검색 결과 없음
행 1385 | 도로명: 서울특별시 종로구 통일로12길108-4 | 지번: 서울특별시 종로구 행촌동 210-814 | 사유: 검색 결과 없음
행 1386 | 도로명: 서울특별시 종로구 통일로12길16-12 | 지번: 서울특별시 종로구 행촌동 209-24 | 사유: 검색 결과 없음
행 1387 | 도로명: 서울특별시 종로구 통일로12길16-18 | 지번: 서울특별시 종로구 행촌동 209-24 | 사유: 검색 결과 없음
